_step,train_accuracy,train_ADD,train_loss,train_mAP,_runtime,current_lr,train_loss_affinities,train_loss_belief,epoch,_timestamp,val_mAP,val_accuracy,val_ADD,val_loss
0,0.1984031530542009,51.34353455537252,0.001329115410691651,0.24450998537991023,102.418804923,5e-05,0.0012098185871760908,0.0004828040770506089,1.0,1744949580.206364,,,,
1,,,,,108.774454673,,,,,1744949586.5621986,0.168318273365363,0.11006944444444443,46.070401882016824,0.0009237439399363385
2,0.07206657403746174,51.37817675302205,0.0006649983630248832,0.13209615139825345,209.887373731,4.999924436229735e-05,0.0007437418048846738,0.0001954183076074168,2.0,1744949687.6750665,,,,
3,,,,,215.90036109,,,,,1744949693.688025,0.11773453803614256,0.051455026455026455,46.02669771321265,0.0009448695401217611
4,0.05694842603576293,51.464254891432475,0.0006574680896151108,0.12953982751653714,316.290945237,4.9996977495800686e-05,0.000733570670199438,0.0001937885033555024,3.0,1744949794.0785456,,,,
5,,,,,322.852206764,,,,,1744949800.6398792,0.1430549918043686,0.059060846560846564,46.331062627620206,0.0010048116645997478
6,0.047976802425201,51.37967194270827,0.0006521459709475102,0.12958093723512026,422.828675478,4.999319954034102e-05,0.0007312509182176066,0.00019101367572432688,4.0,1744949900.6163597,,,,
7,,,,,428.772784704,,,,,1744949906.560518,0.1403106135854378,0.04323743386243386,46.0572054519187,0.0009525881642253981
8,0.050627077749952405,51.46864145499531,0.0006492113520754203,0.1371728922412917,529.148398136,4.998791072896043e-05,0.000725270450915611,0.00019105075144091308,5.0,1744950006.936046,,,,
9,,,,,535.081741363,,,,,1744950012.869493,0.15532756258672822,0.0414186507936508,46.0986894706172,0.0010035755694843829
10,0.049136726930568364,51.48810105021032,0.0006638495647182747,0.14275592925377384,635.742371069,4.998111138789771e-05,0.0007455341279294567,0.00019405500166755322,6.0,1744950113.5300074,,,,
11,,,,,642.103928004,,,,,1744950119.891693,0.1433205057799154,0.04598214285714285,46.220450775161936,0.0009938152562383386
12,0.059090247572602256,51.44957691158309,0.0006497483542048144,0.15426866450542273,742.784580648,4.9972801936568267e-05,0.0007309797853794864,0.00018950563967223792,7.0,1744950220.572315,,,,
13,,,,,749.180313556,,,,,1744950226.968073,0.1066420773539761,0.043501984126984125,46.194138779777546,0.0009000823844135517
14,0.057033092058052515,51.501065784823275,0.0006644660716767015,0.15117735128006174,850.140955012,4.996298288753818e-05,0.0007474821987247021,0.00019381664903814577,8.0,1744950327.928633,,,,
15,,,,,855.917267717,,,,,1744950333.7050326,0.15731883365726784,0.07321428571428573,46.30677955370551,0.0009394605377955097
16,0.055960808327109236,51.592445382932205,0.0006471922823304172,0.15209919544278463,956.263982204,4.995165484649265e-05,0.0007259753924004031,0.00018946972360347274,9.0,1744950434.0517113,,,,
17,,,,,961.928778368,,,,,1744950439.7165112,0.15872168493329095,0.068369708994709,46.2567073513545,0.0009541229505668438
18,0.05892068670093581,51.57132318557049,0.0006502744488192729,0.14993015547936,1062.551802809,4.9938818512198614e-05,0.0007304317453375676,0.0001900390501973448,10.0,1744950540.3291564,,,,
19,,,,,1068.321982487,,,,,1744950546.1097336,0.13581026221118422,0.05539021164021164,46.51213973844191,0.0009264579441930566
20,0.06052590871812896,51.53251937708793,0.000652408042033551,0.17196075866203042,1169.205909293,4.9924474676461635e-05,0.0007316533559386443,0.00019105424291663057,11.0,1744950646.9936361,,,,
21,,,,,1175.304462231,,,,,1744950653.0922232,0.18895291515759352,0.05684523809523809,46.50178154966224,0.0009220054295534889
22,0.061008505045179615,51.499719156507346,0.0006516517760991069,0.18953191264963096,1276.18295931,4.9908624224077055e-05,0.0007339489378625016,0.00018978487349942234,12.0,1744950753.9705625,,,,
23,,,,,1282.377196717,,,,,1744950760.1649394,0.17994761345751678,0.043733465608465596,46.33285042071377,0.0009020988058875359
24,0.0689172268353763,51.60622472079039,0.0006454349554506763,0.21204006657622868,1382.760640159,4.989126813277545e-05,0.0007265015249223419,0.0001881227964656328,13.0,1744950860.548351,,,,
25,,,,,1388.448370319,,,,,1744950866.2360094,0.22462919862492745,0.0939484126984127,46.262445032067404,0.0009763690620838176
26,0.07403425816088924,51.87415214652618,0.0006428253477533742,0.24269895515181492,1489.124586078,4.9872407473162294e-05,0.0007206373719591316,0.00018833777506825815,14.0,1744950966.9123144,,,,
27,,,,,1494.990805477,,,,,1744950972.7785482,0.22675186070016495,0.07736441798941798,47.95515418481798,0.0009354396523641688
28,0.0810290445645329,52.63115955179543,0.0006384653189663653,0.28536871681061476,1596.236905231,4.98520434086519e-05,0.0007205917939106235,0.0001854462816255263,15.0,1744951074.0245721,,,,
29,,,,,1602.750661086,,,,,1744951080.5384207,0.23627117363021627,0.07888558201058202,47.62853566304114,0.0009001496974157081
30,0.08004119802879195,53.763907504346335,0.0006438939809572164,0.2963652914248503,1703.876732797,4.9830177195395695e-05,0.0007241069019384337,0.00018789368725420736,16.0,1744951181.664447,,,,
31,,,,,1709.86298838,,,,,1744951187.6507406,0.2713518609111496,0.06671626984126984,50.3968229762284,0.0009148807536500195
32,0.0729809670781893,54.94581316805024,0.0006425272120499248,0.2972425119106614,1809.896556258,4.980681018220471e-05,0.0007246248667448215,0.00018680985102755617,17.0,1744951287.6835268,,,,
33,,,,,1816.296560119,,,,,1744951294.0841732,0.26549869153379696,0.11916335978835978,51.86522406261429,0.0009155049060826146
34,0.0765060483575707,56.05487021906279,0.0006232888334649499,0.3195595497782217,1916.500461746,4.9781943810466375e-05,0.0007033170403057571,0.00018108687548959475,18.0,1744951394.288077,,,,
35,,,,,1922.139805228,,,,,1744951399.9275475,0.2729435356417674,0.1002314814814815,52.43603259774716,0.0008856036473021266
36,0.09348318761624416,57.20730460739167,0.0006352369905552194,0.31920419787835064,2022.941209019,4.975557961405565e-05,0.0007165315985850313,0.000184647460116796,19.0,1744951500.7289274,,,,
37,,,,,2028.988943263,,,,,1744951506.7767084,0.3061658362883427,0.08492063492063491,54.40019202849087,0.0009369986309182076
38,0.09466530834907665,56.74563817839036,0.0006265240419801868,0.34727392179952266,2128.926583932,4.972771921924036e-05,0.0007066920543009965,0.00018211867761474228,20.0,1744951606.714278,,,,
39,,,,,2134.748340749,,,,,1744951612.536036,0.3315465192158059,0.09145171957671958,52.49115232671367,0.0009038116134304021
40,0.09808695978501238,55.1744564874745,0.0006274513818872132,0.36188783570433447,2235.328197567,4.969836434458086e-05,0.0007069410676065355,0.00018265389788542043,21.0,1744951713.1159503,,,,
41,,,,,2241.367184878,,,,,1744951719.1548843,0.339949935068914,0.12364417989417988,49.74215387061967,0.0008582191990821489
42,0.10621627088733654,54.684916959063465,0.0006231740656685005,0.35761592968725336,2341.81181051,4.966751680082413e-05,0.0007010930074044103,0.0001817517072870479,22.0,1744951819.588364,,,,
43,,,,,2347.440542094,,,,,1744951825.2282305,0.3727651785932216,0.10585317460317459,47.8877260086326,0.0009024525061249733
44,0.10947545509131115,53.846534241800896,0.0006155551421983015,0.3617773597537143,2448.32433116,4.963517849079195e-05,0.0006917371544895819,0.00017979104375115388,23.0,1744951926.1120472,,,,
45,,,,,2454.520007743,,,,,1744951932.307771,0.33464042570313446,0.11669973544973544,48.430233918371655,0.0008233706522289486
46,0.11394536341402692,54.190156948264054,0.0006051672498481779,0.3645078879780125,2554.799930493,4.960135140926362e-05,0.0006830471717368055,0.00017576244262729033,24.0,1744952032.5876696,,,,
47,,,,,2560.885671077,,,,,1744952038.673359,0.3835729397606279,0.09983465608465608,48.95623130563571,0.0007993073183267067
48,0.11838987193005582,53.37184906972254,0.0006052994196637934,0.3628901858522143,2662.366991738,4.956603764285287e-05,0.0006826103814493109,0.0001759961522118026,25.0,1744952140.1547065,,,,
49,,,,,2668.747292852,,,,,1744952146.5349834,0.3873447353605111,0.09790013227513225,47.537016770933654,0.0008883325166867248
50,0.12344626407744241,53.156783955620234,0.0005993774346965846,0.36211592924913927,2770.25377873,4.9529239369879136e-05,0.0006781174841476107,0.0001735457946934565,26.0,1744952248.0414379,,,,
51,,,,,2776.359461503,,,,,1744952254.1472187,0.3726721724251756,0.09421296296296296,49.114184764473364,0.0008418076322413981
52,0.12238633700921168,53.803195373076115,0.0005994964701917314,0.37437407762281577,2876.969528311,4.9490958860233254e-05,0.0006782015547565651,0.00017359712854229923,27.0,1744952354.7570848,,,,
53,,,,,2882.604450939,,,,,1744952360.3920755,0.342668741000839,0.116765873015873,48.099035799270936,0.0008729941688389296
54,0.12312727911778923,53.82456695551266,0.0005839130422970433,0.37085004967050295,2983.268372831,4.945119847523737e-05,0.0006590761725701312,0.0001695833044222745,28.0,1744952461.0560343,,,,
55,,,,,2988.927112988,,,,,1744952466.714731,0.35798104579230167,0.12075066137566137,48.62401610318909,0.0008526458155496844
56,0.13098588777587394,53.432795251648066,0.0005875167708671602,0.370914516180343,3089.429498476,4.9409960667499307e-05,0.0006681615655563997,0.0001689573247625751,29.0,1744952567.2171228,,,,
57,,,,,3095.18061953,,,,,1744952572.9683847,0.3805662250842116,0.14214616402116403,49.38245142543586,0.0008743541187695449
58,0.1357539577933014,53.456505920495005,0.0005825975947322331,0.36275951372990817,3195.824620579,4.936724798076131e-05,0.0006600498105606455,0.00016838179405544986,30.0,1744952673.6123466,,,,
59,,,,,3201.560498123,,,,,1744952679.3482568,0.36423141758506933,0.13285383597883602,49.41513192899856,0.0008488428900905308
60,0.13320871410160653,53.15283508531851,0.0005865971980578336,0.37690893005599874,3303.158337184,4.932306304974307e-05,0.0006667599311923721,0.00016881148704763475,31.0,1744952780.946068,,,,
61,,,,,3308.869061829,,,,,1744952786.6567178,0.3632882893053322,0.11263227513227513,47.77934982676437,0.0008598738959768699
62,0.1458646826442892,52.95689707641972,0.0005809461194160146,0.36410677786211154,3409.446766754,4.927740859997928e-05,0.0006597792254131142,0.00016737100318694833,32.0,1744952887.2343855,,,,
63,,,,,3415.123916197,,,,,1744952892.911609,0.34053778303514787,0.14522156084656082,47.65061606644228,0.0008855774316803686
64,0.1469436023607633,53.01771419973709,0.0005871215815534915,0.3774867190870328,3515.816884143,4.923028744765145e-05,0.0006688910154700346,0.0001684507161206516,33.0,1744952993.604576,,,,
65,,,,,3521.879446421,,,,,1744952999.6672044,0.37156147943138995,0.1205191798941799,47.51981846210627,0.0008624717482321319
66,0.14313912320782626,53.32730307201759,0.0005843267370896991,0.37104340181140727,3622.975291074,4.918170249941421e-05,0.000664676605989772,0.00016799229070845845,34.0,1744953100.7629294,,,,
67,,,,,3629.434804145,,,,,1744953107.2225063,0.41123286150409216,0.15226521164021162,48.67328159961334,0.0008523725139509354
68,0.14768225619846814,53.063686695358086,0.000573830192890416,0.37594255189856235,3731.130448166,4.9131656752216034e-05,0.0006517586514753127,0.00016530057887863235,35.0,1744953208.9181798,,,,
69,,,,,3737.320759111,,,,,1744953215.1084926,0.39527846079884277,0.09818121693121692,48.20105436519499,0.0008218949716094704
70,0.15842134023109705,52.866897209452446,0.0005922351700330014,0.37539966570800204,3839.458189701,4.908015329311434e-05,0.0006741599185604377,0.0001701034729893475,36.0,1744953317.2458947,,,,
71,,,,,3845.856199873,,,,,1744953323.6439345,0.3877272730759577,0.13983134920634918,48.2584549413267,0.0008458159503615683
72,0.14872822481437545,52.67692213685824,0.000572444422392579,0.3781800355976714,3946.23256886,4.902719529908509e-05,0.0006511790074699714,0.0001645699472044797,37.0,1744953424.020295,,,,
73,,,,,3952.003849299,,,,,1744953429.7916086,0.3487091936456993,0.1571924603174603,47.57271498124532,0.000817528504523493
74,0.15897578826355024,53.00672349822476,0.0005733237304149719,0.37805852636890286,4052.461209696,4.8972786036826805e-05,0.0006500454121343858,0.00016553401609375622,38.0,1744953530.2489336,,,,
75,,,,,4058.371556948,,,,,1744953536.1592414,0.3835397637167578,0.15175264550264547,47.27526991274894,0.0008494010433510301
