_step,train_accuracy,train_ADD,train_loss,train_mAP,_runtime,current_lr,train_loss_affinities,train_loss_belief,epoch,_timestamp,val_mAP,val_accuracy,val_ADD,val_loss
0,0.2505116573671339,51.22117129599343,0.0016733182269377217,0.25987059458259,169.194971694,5e-05,0.0015108563414827864,0.0006119267140565692,1.0,1745008828.4688365,,,,
1,,,,,176.473912994,,,,,1745008835.7479322,0.4508519729351808,0.445138888888889,44.97893289986568,0.001428109662984276
2,0.5138680656239473,51.40627369303235,0.001011548583931041,0.5339633731683481,341.010568333,4.999924436229735e-05,0.00109144030499282,0.0003105522876748736,2.0,1745009000.2846332,,,,
3,,,,,348.805674732,,,,,1745009008.0797787,0.5388382850816406,0.5143353174603175,46.251741652747114,0.0015019353623280214
4,0.474627194909421,51.42357564318817,0.0010255233581870581,0.5015762781785132,513.713557062,4.9996977495800686e-05,0.0011071405264555586,0.00031463539864191804,3.0,1745009172.9803314,,,,
5,,,,,521.150705296,,,,,1745009180.4247298,0.4596207284838452,0.40701058201058193,46.2531655252393,0.0015184639043928612
6,0.4455251947776167,51.34564951745728,0.0010120491393646259,0.49199375789626976,685.547231411,4.999319954034102e-05,0.0010941259414239313,0.00030999077835950495,4.0,1745009344.8213153,,,,
7,,,,,692.705443489,,,,,1745009351.979388,0.4595717405707649,0.4133928571428572,46.48327820378337,0.001420853559726051
8,0.32428276437766357,51.41383502772541,0.0010077070413336317,0.38354633523338216,856.93343806,4.998791072896043e-05,0.0010890551692362067,0.0003087863078949065,5.0,1745009516.207418,,,,
9,,,,,864.480879114,,,,,1745009523.754964,0.2272229205302321,0.18108465608465607,46.659604160097544,0.001464269173863743
10,0.24585022077237376,51.401756143128566,0.0010240205735120645,0.29449953734174517,1072.736503606,4.998111138789771e-05,0.0011056623814355755,0.0003141262545229642,6.0,1745009687.677205,,,,
11,,,,,1072.736702891,,,,,1745009695.3578632,0.2858458632569179,0.2395502645502645,46.23565374840766,0.001481823362631812
12,0.2183664858017369,51.430079341567655,0.0010168159589149866,0.25564203301214733,1200.187511644,4.9972801936568267e-05,0.0010996250884385374,0.0003113356103322691,7.0,1745009859.4614134,,,,
13,,,,,1207.367852016,,,,,1745009866.641955,0.18778474382467994,0.17218915343915345,46.2995198997012,0.0013773295518365643
14,0.16225808400333905,51.589414802728065,0.0010059052946549771,0.2014868423614327,1371.570767298,4.996298288753818e-05,0.0010878554675015505,0.0003079850424671035,8.0,1745010030.8448262,,,,
15,,,,,1378.597232036,,,,,1745010037.8713288,0.13815450502706425,0.07901785714285714,46.27937356683931,0.0015181040091972267
16,0.13007561362271722,51.9491631390932,0.0010048869932633808,0.19067064790157634,1542.385745699,4.995165484649265e-05,0.001084352267394008,0.00030847390706806684,9.0,1745010201.6597545,,,,
17,,,,,1549.512297981,,,,,1745010208.786304,0.19052361769004453,0.12159391534391532,47.489742998129664,0.0014583304568770387
18,0.1335917706456951,52.73938072752502,0.001021363707822731,0.2057637712606829,1713.735091459,4.9938818512198614e-05,0.0011032522317134773,0.00031315839524816694,10.0,1745010373.009055,,,,
19,,,,,1720.797544703,,,,,1745010380.0678663,0.18621533497969087,0.12954695767195773,50.10626664193317,0.0013866607776089083
20,0.13544206647335355,54.724962097523516,0.0010024514502938505,0.19929467090985706,1885.013988257,4.9924474676461635e-05,0.0010857770078172542,0.0003063752970722872,11.0,1745010544.2880378,,,,
21,,,,,1892.208728421,,,,,1745010551.4828532,0.19941241657136435,0.09360119047619048,50.97849336579463,0.0013729214025217863
22,0.12861317970798,56.844941173721665,0.0009887049372765333,0.21883416871169772,2056.219866512,4.9908624224077055e-05,0.0010733584224186785,0.0003013504827846657,12.0,1745010715.4939332,,,,
23,,,,,2063.904780368,,,,,1745010723.1788142,0.23191049290020688,0.0611441798941799,53.172120452404954,0.0014519023409645473
24,0.14243868349369534,57.64090703896441,0.0009726508121997171,0.28200215104111437,2228.018440739,4.989126813277545e-05,0.0010574214451273512,0.0002959600597055748,13.0,1745010887.2925124,,,,
